,Tm,W,L,W-L%,GB
0,Toronto Blue Jays,95,67,0.586,--
1,New York Yankees,88,74,0.5429999999999999,7.0
2,Baltimore Orioles,85,77,0.525,10.0
3,Detroit Tigers,85,77,0.525,10.0
4,Boston Red Sox,80,82,0.494,15.0
5,Cleveland Indians,76,86,0.469,19.0
6,Milwaukee Brewers,69,93,0.426,26.0
7,Chicago White Sox,94,68,0.58,--
8,Texas Rangers,86,76,0.531,8.0
9,Kansas City Royals,84,78,0.519,10.0
10,Seattle Mariners,82,80,0.506,12.0
11,California Angels,71,91,0.43799999999999994,23.0
12,Minnesota Twins,71,91,0.43799999999999994,23.0
13,Oakland Athletics,68,94,0.42,26.0
14,Philadelphia Phillies,97,65,0.599,--
15,Montreal Expos,94,68,0.58,3.0
16,St. Louis Cardinals,87,75,0.537,10.0
17,Chicago Cubs,84,78,0.519,13.0
18,Pittsburgh Pirates,75,87,0.46299999999999997,22.0
19,Florida Marlins,64,98,0.395,33.0
20,New York Mets,59,103,0.364,38.0
21,Atlanta Braves,104,58,0.642,--
22,San Francisco Giants,103,59,0.636,1.0
23,Houston Astros,85,77,0.525,19.0
24,Los Angeles Dodgers,81,81,0.5,23.0
25,Cincinnati Reds,73,89,0.451,31.0
26,Colorado Rockies,67,95,0.414,37.0
27,San Diego Padres,61,101,0.377,43.0
